Division,Conference,Season,Top_N,Event,Gender,#,Athlete,Year,Team,Mark,Conv,Meet,Meet Date,Wind
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,5,"Wiley, Christen",JR-3,Redlands,5.41m,"17' 9""",2024 Franson Last Chance,5/9/24,2.4
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,6,"Dolida, Emily",JR-3,Occidental,5.29m,"17' 4.25""",2024 Franson Last Chance,5/9/24,1.5
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,7,"Eichinger, Elisabeth",SO-2,Redlands,5.23m,"17' 2""",2024 SCIAC T&F Championships,4/27/24,-1.3
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,8,"Gray, Lindsey",SO-2,Chapman,5.22m,"17' 1.5""",2024 SCIAC T&F Championships,4/27/24,-0.8
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,9,"Washington, Passion",FR-1,Chapman,5.13m,"16' 10""",2024 SCIAC T&F Championships,4/27/24,0
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,9,"Meredith, Briana",FR-1,Chapman,5.13m,"16' 10""",2024 SCIAC T&F Championships,4/27/24,-0.8
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,11,"Weitz, Amelia",FR-1,Occidental,5.07m,"16' 7.75""",2024 SCIAC T&F Championships,4/27/24,-2
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,12,"Rogers, Georgia",FR-1,Claremont-Mudd-Scripps,4.98m,"16' 4.25""",2024 SCIAC T&F Championships,4/27/24,-0.5
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,13,"Cooper, Lilly",SO-2,Chapman,4.94m,"16' 2.5""",2024 SCIAC T&F Championships,4/27/24,-0.6
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,14,"Bowers, Ella",SO-2,Pomona-Pitzer,4.91m,"16' 1.5""",Redlands Invitational,3/15/24,2.3
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,15,"James, Gift",SO-2,Redlands,4.81m,"15' 9.5""",2024 Redlands Final Qualifier,5/15/24,2
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,16,"Thompson, Ella",FR-1,Cal Lutheran,4.68m,"15' 4.25""","2024 SCIAC Multi Dual 1 (CLU, ULV, CMS, Oxy)",3/2/24,0.5
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,17,"Greer, Nyli",FR-1,Chapman,4.67m,"15' 4""",SCIAC Multi Dual #3 (WC UR CU OC CMS,4/13/24,-2.4
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,18,"Heron, Shaylee",FR-1,Redlands,4.66m,"15' 3.5""",SCIAC Multi Dual #3 (WC UR CU OC CMS,4/13/24,0
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,19,"Johnson, Jazzlyn",SR-4,La Verne,4.65m,"15' 3.25""",2024 SCIAC T&F Championships,4/27/24,-1.8
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,20,"Zurasky, Zoe",JR-3,Chapman,4.55m,"14' 11.25""",2024 Pomona-Pitzer T&F Invite,4/6/24,0
